tick address bitflip_pos qt_err will_recode curr_ecc next_ecc block_pos data_write data_rec fixed
172 4680 0 0 False 1 -1 2 2135 0857 True
198 3953 0 0 False 1 -1 1 37885 93fd True
224 1688 0 0 False 1 -1 0 30315 766b True
250 6746 0 0 False 1 -1 3 18187 470b True
276 281 0 0 False 1 -1 0 34122 854a True
302 2685 0 0 False 1 -1 1 4986 137a True
328 7802 0 0 False 1 -1 3 62443 f3eb True
354 365 0 0 False 1 -1 0 27551 6b9f True
380 4941 0 0 False 1 -1 2 23270 5ae6 True
406 3450 0 0 False 1 -1 1 18587 489b True
432 3742 0 0 False 1 -1 1 11447 2cb7 True
458 5421 0 0 False 1 -1 2 23762 5cd2 True
484 3743 0 0 False 1 -1 1 50321 c491 True
510 7941 0 0 False 1 -1 3 28812 708c True
536 362 0 0 False 1 -1 0 38203 953b True
562 1930 0 0 False 1 -1 0 8780 224c True
588 7708 0 0 False 1 -1 3 59610 e8da True
614 4393 0 0 False 1 -1 2 23995 5dbb True
640 2575 0 0 False 1 -1 1 43692 aaac True
666 3691 0 0 False 1 -1 1 28575 6f9f True
692 532 0 0 False 1 -1 0 42793 a729 True
718 2659 0 0 False 1 -1 1 55316 d814 True
744 1281 0 0 False 1 -1 0 55192 d798 True
770 7944 0 0 False 1 -1 3 27057 69b1 True
796 302 0 0 False 1 -1 0 2080 0820 True
822 2467 0 0 False 1 -1 1 53607 d167 True
848 5389 0 0 False 1 -1 2 4720 1270 True
874 7571 0 0 False 1 -1 3 56041 dae9 True
900 1226 0 0 False 1 -1 0 25193 6269 True
926 7746 0 0 False 1 -1 3 24521 5fc9 True
952 1226 0 0 False 1 -1 0 7400 1ce8 True
978 3617 0 0 False 1 -1 1 10902 2a96 True
1004 7763 0 0 False 1 -1 3 22851 5943 True
1030 7950 0 0 False 1 -1 3 27137 6a01 True
1056 2010 0 0 False 1 -1 1 44616 ae48 True
1082 1175 0 0 False 1 -1 0 40452 9e04 True
1108 1461 0 0 False 1 -1 0 56680 dd68 True
1134 2187 0 0 False 1 -1 1 29867 74ab True
1160 1351 0 0 False 1 -1 0 43281 a911 True
1186 6369 0 0 False 1 -1 3 11540 2d14 True
